flight_number,pilot_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,arrival_country,duration_hours,departure_time,date,isLate
WN1914,Raviv,Los Angeles International,Debrzno,Poland,San Francisco International,Bantaeng,Indonesia,19.08,5:16 PM,1/22/2026,false
UA3730,Galvan,Los Angeles International,Gonzalo Pizarro,Ecuador,San Francisco International,Qobu,Azerbaijan,11.65,12:15 PM,1/9/2026,true
IB2849,Noland,Adolfo Suárez Madrid–Barajas,Minamata,Japan,Charles de Gaulle,Zhanaozen,Kazakhstan,13.62,2:59 PM,2/21/2026,true
SK1004,Alfy,Copenhagen Airport,Bartsrashen,Armenia,Charles de Gaulle,Kraków,Poland,1.92,8:36 PM,2/13/2026,false
AA6594,Virginie,John F. Kennedy International,Bentiu,South Sudan,Hartsfield-Jackson Atlanta,Rivas,Nicaragua,5.92,12:25 PM,8/20/2025,true
BA4649,Susy,Heathrow,Moses,Portugal,Charles de Gaulle,Ardazubre,Portugal,11.53,4:14 PM,10/25/2025,true
EK1066,Murry,Dubai International,Luzhany,Ukraine,Hamad International,Žďár nad Sázavou Druhy,Czech Republic,21.36,10:01 AM,6/1/2025,false
AA3540,Tally,John F. Kennedy International,Momignies,Belgium,Hartsfield-Jackson Atlanta,Bayan,Mongolia,2.53,12:23 AM,2/9/2026,true
AF6875,Jane,Charles de Gaulle,Iwade,Japan,Melbourne Airport,Cercal,Portugal,9.05,9:19 PM,4/18/2026,false
IB7758,Nickey,Adolfo Suárez Madrid–Barajas,Hradec Králové,Czech Republic,Charles de Gaulle,Almeirim,Portugal,18.25,8:46 PM,6/25/2025,true
AC1314,Stacee,Toronto Pearson,Bayt Liqyā,Palestinian Territory,Logan International,Santo Tomas,Philippines,11.76,1:00 PM,3/26/2026,true
TG3327,Meredithe,Suvarnabhumi,Boychinovtsi,Bulgaria,Changi,Mutoko,Zimbabwe,2.31,8:11 PM,8/4/2025,false
KL4907,Nada,Amsterdam Airport Schiphol,Dalubian,China,Frankfurt Airport,Jitan,China,2.5,1:36 AM,12/13/2025,false
NZ6947,Herby,Auckland Airport,Repnoye,Russia,Sydney Airport,Gribanovskiy,Russia,18.25,11:43 PM,9/16/2025,false
AV3166,Odella,El Dorado International,Tombu,Sierra Leone,Benito Juárez International,Mengenkrajan,Indonesia,7.59,4:08 AM,3/18/2026,true
QR8684,Pearline,Hamad International,Graneros,Chile,Copenhagen Airport,Nemuro,Japan,7.54,7:25 AM,10/17/2025,false
LH3478,Orsola,Frankfurt Airport,Rodionovo-Nesvetayskaya,Russia,Charles de Gaulle,Talin Hiag,China,3.72,9:14 AM,3/24/2026,false
IB4045,Ross,Adolfo Suárez Madrid–Barajas,Bayt Ta‘mar,Palestinian Territory,Beijing Capital International,Ðà Lạt,Vietnam,20.18,5:30 AM,2/25/2026,true
AI8431,Vinny,Indira Gandhi International,Barengkok,Indonesia,Arturo Merino Benítez International,Rybczewice,Poland,8.54,6:28 PM,5/9/2025,true
AF8531,Jerrine,Charles de Gaulle,Salitral,Costa Rica,Frankfurt Airport,Verkhnya Syrovatka,Ukraine,7.21,5:04 PM,3/3/2026,false
SQ1946,Midge,Changi,Swedru,Ghana,Beijing Capital International,Dasht-e Archī,Afghanistan,15.14,5:29 AM,4/12/2026,false
LA9613,Dukey,São Paulo/Guarulhos International,Camalote,Honduras,Ministro Pistarini International,Kambingan,Indonesia,1.45,8:46 PM,4/18/2026,false
SK6775,Josiah,Copenhagen Airport,San Pedro Jocopilas,Guatemala,Charles de Gaulle,Huayuan,China,19.76,4:36 AM,1/1/2026,true
AA7962,Felicity,John F. Kennedy International,Aqtaū,Kazakhstan,Logan International,Shchelkovo,Russia,8.45,7:48 PM,4/15/2026,false
SK6983,Berton,Copenhagen Airport,Falkenberg,Sweden,São Paulo/Guarulhos International,Petrovskoye,Russia,22.36,11:21 PM,12/28/2025,true
AZ2418,Gerhardt,Leonardo da Vinci International,Graneros,Chile,Charles de Gaulle,Auki,Solomon Islands,19.56,9:45 PM,7/28/2025,true
NZ6242,Dyanna,Auckland Airport,Bafoussam,Cameroon,Sydney Airport,Novoalekseyevskaya,Russia,7.8,12:36 AM,2/13/2026,false
AV4492,Hazel,El Dorado International,Dangcalan,Philippines,Hamad International,Jinhe,China,19.86,12:52 PM,7/6/2025,false
LA2312,Kristoforo,São Paulo/Guarulhos International,São Martinho,Portugal,Ministro Pistarini International,Agía Foteiní,Greece,16.72,2:08 AM,12/21/2025,true
SQ9982,Leighton,Changi,Jacksonville,United States,Beijing Capital International,Banag,Philippines,23.77,4:18 PM,12/29/2025,false
ET3060,Conchita,Bole International,Xinbei,China,Hamad International,Bueng Samakkhi,Thailand,16.57,12:59 AM,7/11/2025,false
NZ8005,Antoinette,Auckland Airport,Skarżysko-Kamienna,Poland,Sydney Airport,Paris 02,France,21.57,1:13 PM,7/17/2025,true
AM1832,Ingelbert,Benito Juárez International,Barurao,Philippines,O'Hare International,Cangyou,China,3.62,2:41 PM,11/30/2025,true
AI4251,Eward,Indira Gandhi International,Stockholm,Sweden,Chhatrapati Shivaji International,Lephalale,South Africa,3.39,2:22 AM,5/4/2025,true
DL7717,Roman,John F. Kennedy International,Pariti,Indonesia,Hartsfield-Jackson Atlanta,Sibagat,Philippines,16.64,5:20 AM,10/12/2025,false
SA8722,Brendan,O.R. Tambo International,Kajiado,Kenya,Charles de Gaulle,Nicoya,Costa Rica,9.02,5:55 AM,9/23/2025,false
QR2435,Jeremy,Hamad International,Černošín,Czech Republic,Frankfurt Airport,Aksakovo,Bulgaria,16.31,12:20 AM,1/7/2026,false
LH4249,Ami,Frankfurt Airport,Ami,Japan,Charles de Gaulle,Tabonok,Philippines,4.45,3:43 PM,10/17/2025,true
UA3041,Keith,Los Angeles International,Wucun,China,San Francisco International,Totora,Bolivia,9.13,12:28 PM,7/28/2025,false
AI3656,Ralf,Indira Gandhi International,Herrera,Philippines,Chhatrapati Shivaji International,Antrukan,Indonesia,21.86,6:27 AM,11/28/2025,true
AM4031,Hermann,Benito Juárez International,Venda Nova,Portugal,O'Hare International,Xiantang,China,19.36,7:50 AM,12/12/2025,false
AI3155,Misty,Indira Gandhi International,Jiepai,China,Chhatrapati Shivaji International,Amaigbo,Nigeria,20.78,6:28 PM,1/28/2026,true
IB3454,Gerhard,Adolfo Suárez Madrid–Barajas,Esmoriz,Portugal,Leonardo da Vinci International,Heba,China,19.63,4:35 PM,9/17/2025,false
KL7317,Farra,Amsterdam Airport Schiphol,Rawuk,Indonesia,Charles de Gaulle,Privas,France,2.88,3:03 AM,12/11/2025,false
KL7531,Rossy,Amsterdam Airport Schiphol,Poja,Indonesia,Charles de Gaulle,Catia La Mar,Venezuela,12.27,8:39 PM,5/26/2025,false
CX2366,Dorie,Hong Kong International,Oeiras,Portugal,Copenhagen Airport,Qinghu,China,5.76,3:57 AM,8/15/2025,true
SK1423,Saw,Copenhagen Airport,Qiaozi,China,Charles de Gaulle,Bizhou,China,21.69,2:14 PM,11/19/2025,false
KE4971,Eleonore,Incheon International,Ladoeiro,Portugal,Hong Kong International,Popasna,Ukraine,17.28,8:00 AM,7/5/2025,true
IB3773,Patten,Adolfo Suárez Madrid–Barajas,Palcamayo,Peru,Charles de Gaulle,Granada,Spain,13.82,4:14 PM,5/11/2025,true
AC9935,Gareth,Toronto Pearson,Jiujie,China,Vancouver International,Maştağa,Azerbaijan,18.19,6:01 PM,5/1/2025,true
SA3946,Ilene,O.R. Tambo International,Pokhara,Nepal,Charles de Gaulle,Celestynów,Poland,5.11,10:25 AM,1/7/2026,false
WN3689,Mayor,Los Angeles International,Makoba,Botswana,O'Hare International,Shangping,China,16.89,3:00 PM,1/13/2026,false
AF2581,Caterina,Charles de Gaulle,Kanye,Botswana,Frankfurt Airport,Gąsocin,Poland,22.63,11:02 AM,1/27/2026,false
KL9443,Karole,Amsterdam Airport Schiphol,Satka,Russia,Charles de Gaulle,Dresden,Germany,14.34,6:08 AM,6/24/2025,false
AF9603,Cary,Charles de Gaulle,Lintaca,Bolivia,Frankfurt Airport,Plaridel,Philippines,19.16,4:07 PM,9/3/2025,true
AM5814,Carlita,Benito Juárez International,Massy,France,O'Hare International,San Miguel de Tucumán,Argentina,4.01,5:43 AM,5/17/2025,false
CX1682,Nani,Hong Kong International,Hidalgo,Mexico,Melbourne Airport,Evxinoúpolis,Greece,5.73,7:55 AM,10/24/2025,true
DL4692,Lacie,John F. Kennedy International,Boljevac,Serbia,Hartsfield-Jackson Atlanta,West Palm Beach,United States,9.39,10:15 AM,6/30/2025,false
AM5743,Niki,Benito Juárez International,Guadalupe Victoria,Mexico,Jomo Kenyatta International,Baghdad,Iraq,20.76,1:05 AM,6/10/2025,true
EK2258,Noella,Dubai International,Calancuasan Norte,Philippines,Adolfo Suárez Madrid–Barajas,Åhus,Sweden,18.83,12:17 AM,12/16/2025,false
AC1854,Ryon,Toronto Pearson,Nowlamary,Bangladesh,John F. Kennedy International,Figueira Castelo Rodrigo,Portugal,23.67,4:56 PM,2/15/2026,false
AC3279,Jon,Toronto Pearson,Ksawerów,Poland,John F. Kennedy International,Znamenskoye,Russia,1.76,10:44 AM,3/14/2026,false
AA8953,Pietro,John F. Kennedy International,Tasböget,Kazakhstan,Vancouver International,Milano,Italy,7.34,5:27 PM,12/1/2025,true
UA7542,Verge,Los Angeles International,Daxing,China,San Francisco International,Watari,Japan,22.55,10:59 AM,1/30/2026,true
AI5828,Lindon,Indira Gandhi International,Garbolovo,Russia,Chhatrapati Shivaji International,Cuispes,Peru,8.83,12:35 PM,9/5/2025,false
SQ8281,Becki,Changi,Vol’nyy Aul,Russia,Amsterdam Airport Schiphol,Utsunomiya-shi,Japan,14.83,4:22 AM,5/17/2025,false
EK2243,Daloris,Dubai International,Boca Suno,Ecuador,Hamad International,Tabor,Slovenia,14.37,10:10 PM,4/6/2026,false
AZ6460,Verla,Leonardo da Vinci International,Yangmingbu,China,Charles de Gaulle,Yangxu,China,8.68,11:05 PM,2/28/2026,true
SK7279,Ethelda,Copenhagen Airport,Pereiros,Portugal,Zurich Airport,Karawatu,Indonesia,1.13,7:50 AM,7/16/2025,true
AM9824,Fara,Benito Juárez International,Alīābad,Pakistan,El Dorado International,Grand Forks,United States,9.66,9:56 PM,10/6/2025,false
DL2404,Aigneis,John F. Kennedy International,Belyye Stolby,Russia,Hartsfield-Jackson Atlanta,Kubachi,Russia,1.83,7:10 PM,4/17/2026,true
AM6760,Phaedra,Benito Juárez International,Wulipu,China,Los Angeles International,Pátmos,Greece,11.39,5:25 AM,6/8/2025,false
SQ7786,Jada,Changi,Lidköping,Sweden,Beijing Capital International,Klutuk,Indonesia,4.07,12:58 AM,4/18/2026,false
KE6531,Bebe,Incheon International,Zlatni Pyasatsi,Bulgaria,Haneda,Liucun,China,14.63,7:54 PM,9/10/2025,true
KE4629,Aharon,Incheon International,Bouillon,Belgium,Ministro Pistarini International,Dagui,China,6.24,4:56 AM,8/22/2025,false
SK7366,Patricia,Copenhagen Airport,Pogwizdów,Poland,Charles de Gaulle,Kebunan,Indonesia,5.51,9:27 PM,8/27/2025,false
AV6390,Lindy,El Dorado International,Gongchang,China,O'Hare International,Citeluk,Indonesia,10.31,4:45 PM,3/17/2026,false
KL7108,Anatole,Amsterdam Airport Schiphol,Mooka,Japan,Cape Town International,Stoczek,Poland,21.92,5:02 PM,5/11/2025,true
EK9505,Dorri,Dubai International,Varybóbi,Greece,Bole International,Čair,Macedonia,17.02,11:15 AM,3/2/2026,false
SK1423,Cicily,Copenhagen Airport,Xieyang,China,Charles de Gaulle,Tilamuta,Indonesia,14.22,6:14 AM,12/24/2025,true
BA8810,Paddy,Heathrow,Belfast,Canada,Charles de Gaulle,Trnovlje pri Celju,Slovenia,6.44,10:49 PM,3/10/2026,true
BA2226,Reynold,Heathrow,Norabats’,Armenia,Zurich Airport,Lembanah,Indonesia,4.49,11:35 AM,8/31/2025,false
LH3115,Rik,Frankfurt Airport,Zliten,Libya,Jorge Chávez International,Ágios Pétros,Greece,22.62,8:42 AM,1/10/2026,true
TG9392,Aubrey,Suvarnabhumi,Canomoy,Philippines,Changi,Eirunepé,Brazil,14.45,3:04 AM,9/11/2025,false
NH4113,Faun,Haneda,Sīlat al Ḩārithīyah,Palestinian Territory,Incheon International,Pengulu,Indonesia,20.11,3:15 PM,3/5/2026,false
AZ7822,Chane,Leonardo da Vinci International,Agarsin,China,Charles de Gaulle,Dobruševo,Macedonia,6.89,8:23 PM,8/19/2025,false
EK9924,Lonni,Dubai International,Uruçuca,Brazil,Hamad International,Raczki,Poland,10.01,6:30 PM,7/28/2025,true
IB6581,Lindie,Adolfo Suárez Madrid–Barajas,Pigí,Greece,Charles de Gaulle,Santa Rosa de Cabal,Colombia,8.41,3:08 AM,1/9/2026,true
DL5702,Klara,John F. Kennedy International,Capioví,Argentina,Dallas/Fort Worth International,Aūa,American Samoa,18.21,8:16 PM,10/21/2025,false
SQ8501,Marjory,Changi,Perreng,Indonesia,Beijing Capital International,Novoukrayinka,Ukraine,13.17,5:46 AM,6/15/2025,false
TG3890,Dulci,Suvarnabhumi,Bailiang,China,Sydney Airport,Wetzlar,Germany,19.48,6:27 AM,11/20/2025,true
QF2308,Manda,Sydney Airport,Périgueux,France,Melbourne Airport,Burūm,Yemen,22.39,3:32 PM,5/10/2025,true
BA8980,Drusie,Heathrow,Al Maḩwīt,Yemen,Charles de Gaulle,Nizhniye Vyazovyye,Russia,20.18,1:57 PM,3/3/2026,true
AV9981,Andrea,El Dorado International,Borås,Sweden,O'Hare International,Maroua,Cameroon,11.09,3:56 AM,12/26/2025,false
LA6020,Gal,São Paulo/Guarulhos International,Khok Charoen,Thailand,Ministro Pistarini International,Oslo,Norway,20.48,9:45 AM,10/11/2025,false
SK4129,Verge,Copenhagen Airport,Kansas City,United States,Leonardo da Vinci International,Las Flores,Mexico,16.95,8:47 PM,10/3/2025,false
SQ5036,Clemente,Changi,Laoxingchang,China,Beijing Capital International,Phoenix,United States,21.18,4:15 AM,9/12/2025,false
AF1670,Moishe,Charles de Gaulle,Bāzārak,Afghanistan,Chhatrapati Shivaji International,Santiago,Paraguay,7.51,3:22 PM,2/9/2026,false
LH3297,Malinde,Frankfurt Airport,Cantagallo,Colombia,Charles de Gaulle,Ruzhany,Belarus,3.74,2:21 PM,6/17/2025,true
CX5062,Locke,Hong Kong International,Paris 12,France,Changi,Selouane,Morocco,12.25,12:47 AM,5/31/2025,true
SQ5441,Veronica,Changi,Pehuajó,Argentina,Beijing Capital International,Hongjiazui,China,15.71,9:21 AM,9/9/2025,false
QR2087,Bernadette,Hamad International,Libu,China,San Francisco International,Cibeureum,Indonesia,21.6,4:47 AM,3/15/2026,true
AZ1726,Shelley,Leonardo da Vinci International,Sailaitang,China,Frankfurt Airport,Gon’ba,Russia,5.71,9:15 AM,3/16/2026,false
KE5770,Julina,Incheon International,Pochuta,Guatemala,Haneda,Chropyně,Czech Republic,4.28,4:45 PM,9/3/2025,true
NH4125,Anderson,Haneda,Zomba,Malawi,Incheon International,Ping’an,China,11.66,8:32 AM,2/24/2026,false
SQ9772,Lilla,Changi,Uppsala,Sweden,Munich Airport,Jinshan,China,11.99,11:49 PM,12/6/2025,true
LH3192,Jud,Frankfurt Airport,Chitagá,Colombia,Charles de Gaulle,Zhapu,China,12.48,8:56 PM,6/19/2025,true
TG7432,Hagan,Suvarnabhumi,Galovac,Croatia,Changi,Pilcaniyeu,Argentina,2.65,3:10 AM,7/9/2025,true
AM4751,Lenci,Benito Juárez International,Ilesa,Nigeria,O'Hare International,Lenger,Kazakhstan,15.34,10:38 PM,3/5/2026,true
AM1859,Rolland,Benito Juárez International,Zaliznychne,Ukraine,O'Hare International,Paris 02,France,2.01,12:13 PM,4/23/2026,true
KE7505,Nicki,Incheon International,Suraż,Poland,Haneda,Wenshui,China,5.26,5:15 AM,9/25/2025,true
AI4251,Deirdre,Indira Gandhi International,Porto de Mós,Portugal,Chhatrapati Shivaji International,San Antonio,Colombia,13.63,2:13 PM,3/15/2026,true
AM5515,Maryann,Benito Juárez International,Lochovice,Czech Republic,O'Hare International,Ginebra,Colombia,23.8,3:41 PM,11/12/2025,false
SQ4035,Claretta,Changi,San José de Comayagua,Honduras,Beijing Capital International,Driyorejo,Indonesia,15.55,8:18 PM,7/27/2025,true
TG4162,Ebenezer,Suvarnabhumi,Nakhon Sawan,Thailand,Changi,Catabola,Angola,16.53,1:32 AM,9/16/2025,true
BA1583,Darlene,Heathrow,Al Wuday‘,Yemen,Charles de Gaulle,Donskoye,Russia,11.99,11:54 PM,4/7/2026,false
AI4858,Chere,Indira Gandhi International,Amio,Philippines,Chhatrapati Shivaji International,Dobrzeń Wielki,Poland,9.0,10:34 PM,2/25/2026,false
EK3724,Demeter,Dubai International,Sambava,Madagascar,Hamad International,Västerås,Sweden,19.83,11:24 PM,5/11/2025,false
AZ7817,Sutherland,Leonardo da Vinci International,Bystra,Poland,Munich Airport,Feng’an,China,10.96,11:03 PM,3/18/2026,false
KE1052,Fanny,Incheon International,Ipoh,Malaysia,Haneda,Pucara,Peru,21.11,1:32 PM,7/12/2025,true
SA3071,Delila,O.R. Tambo International,Geneina,Sudan,Charles de Gaulle,Saronída,Greece,13.9,11:38 AM,6/18/2025,true
LA7268,Miriam,São Paulo/Guarulhos International,Sabanalarga,Colombia,Ministro Pistarini International,Changtian,China,15.26,11:12 PM,1/1/2026,true
SQ8769,Angeline,Changi,Berëzovskiy,Russia,Beijing Capital International,Sabang,Philippines,20.93,3:37 PM,1/27/2026,false
LH3233,Isaak,Frankfurt Airport,Zhongling,China,Charles de Gaulle,Hexi,China,5.15,7:18 AM,3/31/2026,true
QR3479,Michaeline,Hamad International,Gomunice,Poland,Bole International,Arroyito,Argentina,19.3,8:31 PM,7/10/2025,true
IB4379,Leona,Adolfo Suárez Madrid–Barajas,Casa Branca,Brazil,Charles de Gaulle,María la Baja,Colombia,23.05,3:41 AM,9/4/2025,false
LH3189,Morse,Frankfurt Airport,Haradzyeya,Belarus,Charles de Gaulle,Meishan,China,2.85,4:12 PM,4/17/2026,true
EK6023,Jaine,Dubai International,Potou,China,Hamad International,Sizao,China,5.91,9:35 AM,11/19/2025,true
AC9149,Arley,Toronto Pearson,Wuxiang,China,Arturo Merino Benítez International,Gokwe,Zimbabwe,23.38,1:41 PM,9/4/2025,true
QR4953,Ailyn,Hamad International,Presa,Portugal,Bole International,Ciwaru,Indonesia,18.83,6:15 PM,8/8/2025,false
AF3094,Zak,Charles de Gaulle,Cambebba,Brazil,Frankfurt Airport,Puerto Natales,Chile,16.69,2:53 PM,11/11/2025,true
LH5166,Sibley,Frankfurt Airport,Zográfos,Greece,Charles de Gaulle,Kotuń,Poland,20.68,2:58 AM,2/11/2026,false
KL3236,Worth,Amsterdam Airport Schiphol,Estique,Peru,Dallas/Fort Worth International,Washington,United States,5.59,4:01 PM,4/18/2026,false
KE9732,Elisha,Incheon International,Dolores,Argentina,Haneda,Peredovaya,Russia,11.53,4:38 AM,8/11/2025,false
AC3023,Woody,Toronto Pearson,Macachín,Argentina,Jorge Chávez International,Mundybash,Russia,12.61,5:07 PM,10/14/2025,false
QR7768,Sandye,Hamad International,Zhuge,China,Bole International,Katyuzhanka,Ukraine,2.57,8:48 AM,8/26/2025,true
AZ6073,Agnola,Leonardo da Vinci International,Bègles,France,Heathrow,Yanas,Peru,14.46,4:08 PM,5/20/2025,true
DL4434,Danya,John F. Kennedy International,Panzhou,China,São Paulo/Guarulhos International,Enhtal,Mongolia,5.16,2:57 PM,1/13/2026,false
NH1887,Heloise,Haneda,Kamirenjaku,Japan,Copenhagen Airport,Antiguo Cuscatlán,El Salvador,13.08,7:13 PM,9/7/2025,true
NZ2873,Benny,Auckland Airport,Tetyushi,Russia,Melbourne Airport,Ariana,Tunisia,23.56,6:25 AM,9/29/2025,true
AM3793,Glory,Benito Juárez International,Cordon,Philippines,O'Hare International,Rio Novo do Sul,Brazil,8.59,12:29 PM,12/14/2025,true
EK9440,Brander,Dubai International,Aiquile,Bolivia,Amsterdam Airport Schiphol,Lunas,Philippines,22.35,4:03 PM,9/5/2025,false
IB5628,Joelynn,Adolfo Suárez Madrid–Barajas,Mawu,China,Vienna International,Rusnė,Lithuania,23.4,11:48 AM,10/14/2025,false
DL2308,Mitch,John F. Kennedy International,Stoczek Łukowski,Poland,Hartsfield-Jackson Atlanta,Baiqi,China,21.87,9:27 PM,10/1/2025,true
NZ5021,Stephen,Auckland Airport,Longgao,China,Sydney Airport,Kuishan,China,21.46,8:27 AM,11/11/2025,true
KL5381,Harrison,Amsterdam Airport Schiphol,Seropédica,Brazil,Frankfurt Airport,Vistino,Russia,10.99,6:45 PM,5/12/2025,true
TG3333,Dulci,Suvarnabhumi,Dayr Sāmit,Palestinian Territory,Sydney Airport,Adirejo,Indonesia,12.58,6:46 PM,3/15/2026,false
IB5832,Page,Adolfo Suárez Madrid–Barajas,Yanwukou,China,Charles de Gaulle,Gabaldon,Philippines,9.91,4:49 AM,1/7/2026,false
AF1722,Olga,Charles de Gaulle,Krzęcin,Poland,Arturo Merino Benítez International,Laagri,Estonia,3.79,2:48 AM,2/20/2026,false
QF4877,Hillary,Sydney Airport,Perzów,Poland,Melbourne Airport,Maia,Portugal,11.9,2:33 AM,4/4/2026,false
UA3321,Gusti,Los Angeles International,Solţānābād,Iran,Vancouver International,Sabá,Honduras,6.91,8:35 PM,4/28/2025,true
WN3007,Emyle,Los Angeles International,Asnières-sur-Seine,France,San Francisco International,Watergrasshill,Ireland,18.38,4:38 PM,6/24/2025,false
AF5668,Floris,Charles de Gaulle,Polešovice,Czech Republic,Frankfurt Airport,Palmas de Monte Alto,Brazil,10.17,5:56 PM,1/14/2026,true
AI2581,Ogden,Indira Gandhi International,Miramichi,Canada,Chhatrapati Shivaji International,Ogden,United States,10.4,8:43 PM,6/30/2025,false
SA2079,Wilone,O.R. Tambo International,Benešov nad Ploučnicí,Czech Republic,Charles de Gaulle,Cowansville,Canada,14.21,9:16 PM,9/23/2025,false
AF1454,Junina,Charles de Gaulle,Haysyn,Ukraine,Frankfurt Airport,Štítná nad Vláří,Czech Republic,16.78,10:48 PM,2/19/2026,true
SQ9239,Reggi,Changi,Katy,United States,Beijing Capital International,Arrepiado,Portugal,20.77,5:01 PM,2/21/2026,true
QF5669,Marius,Sydney Airport,Krinichnaya,Ukraine,Haneda,Caçador,Brazil,13.08,6:10 AM,7/19/2025,false
ET9985,Lovell,Bole International,Zagoryanskiy,Russia,Hamad International,Vouani,Comoros,16.14,7:30 AM,7/16/2025,true
LH4905,Chas,Frankfurt Airport,Mazamet,France,Munich Airport,Yunzhong,China,10.5,7:38 PM,10/2/2025,false
AZ8697,Goddard,Leonardo da Vinci International,Shakhun’ya,Russia,Haneda,Göteborg,Sweden,16.04,3:49 AM,7/13/2025,false
AA4410,Josie,John F. Kennedy International,Nizhnyaya Tura,Russia,Leonardo da Vinci International,Wonorejo Dua,Indonesia,6.3,2:29 PM,8/19/2025,false
SK4122,Gwendolyn,Copenhagen Airport,Karangbayat,Indonesia,Charles de Gaulle,Loufan,China,5.42,6:16 AM,10/13/2025,false
KE8640,Denis,Incheon International,Ourozinho,Portugal,Jomo Kenyatta International,Dom Pedrito,Brazil,13.19,6:33 AM,3/7/2026,false
KE5026,Selinda,Incheon International,Senj,Croatia,Haneda,Barreiro,Portugal,2.83,12:07 AM,9/19/2025,true
UA6353,Pablo,Los Angeles International,Ombarade,Indonesia,San Francisco International,Bagay,Philippines,21.72,1:30 AM,2/22/2026,false
AV7071,Augustine,El Dorado International,Daban,China,O'Hare International,Yubileynyy,Russia,20.77,12:19 PM,6/6/2025,false
AC5659,Kenna,Toronto Pearson,Methóni,Greece,John F. Kennedy International,Uppsala,Sweden,11.49,12:44 PM,11/22/2025,true
NZ1091,Dolly,Auckland Airport,Adamstown,Pitcairn,Sydney Airport,Longcun,China,8.4,6:53 PM,3/7/2026,false
UA3264,Gunther,Los Angeles International,Арачиново,Macedonia,Seattle-Tacoma International,Yoiqag,China,3.55,11:34 PM,12/21/2025,true
AM9072,Elysia,Benito Juárez International,Panenggoede,Indonesia,Hamad International,Kabul,Afghanistan,22.62,4:41 AM,11/18/2025,true
AI2923,Stanfield,Indira Gandhi International,Tumauini,Philippines,Chhatrapati Shivaji International,Curpahuasi,Peru,12.86,7:25 AM,8/9/2025,true
SA4231,Rusty,O.R. Tambo International,Longfengshan,China,Zurich Airport,Peredovaya,Russia,8.65,8:41 PM,4/16/2026,true
NH8549,Peta,Haneda,Zilang,China,Jomo Kenyatta International,Cerenti,Indonesia,4.2,3:45 PM,8/29/2025,true
TG8790,Babbie,Suvarnabhumi,San Clemente,Chile,Changi,Dongshan,China,4.52,10:33 PM,4/21/2026,false
ET4024,Tillie,Bole International,Batas Barat,Indonesia,Leonardo da Vinci International,Fika,Nigeria,13.0,11:21 AM,10/15/2025,true
AA8316,Elita,John F. Kennedy International,Yongning,China,Hartsfield-Jackson Atlanta,Chiri-Yurt,Russia,20.23,9:03 PM,6/20/2025,true
ET7671,Jonie,Bole International,Sabugal,Portugal,Hamad International,Ozatlán,El Salvador,16.79,6:54 PM,12/21/2025,false
WN2356,Davida,Los Angeles International,Huddinge,Sweden,San Francisco International,Mondlo,South Africa,10.61,3:15 PM,7/12/2025,true
BA7616,Renell,Heathrow,Donghui,China,Amsterdam Airport Schiphol,Manaloal,Philippines,11.39,1:02 PM,4/29/2025,true
QR1780,Lauryn,Hamad International,Shangxian,China,Bole International,Rääkkylä,Finland,15.85,7:37 AM,9/5/2025,false
QF4696,Gardy,Sydney Airport,Bentar Girang,Indonesia,Charles de Gaulle,Chidian,China,1.06,2:54 AM,8/22/2025,true
AZ9476,Sol,Leonardo da Vinci International,Xiaozhai,China,Charles de Gaulle,Xinfeng,China,11.59,6:23 AM,4/6/2026,true
IB9873,Payton,Adolfo Suárez Madrid–Barajas,Shilin,China,Charles de Gaulle,Sampagar,Philippines,21.88,7:41 AM,10/1/2025,true
LH7175,Nicolina,Frankfurt Airport,Kakata,Liberia,Charles de Gaulle,Agbani,Nigeria,7.47,10:35 AM,7/14/2025,false
WN8327,Tremain,Los Angeles International,Jagabaya Dua,Indonesia,Seattle-Tacoma International,Fort Erie,Canada,20.09,6:54 AM,1/29/2026,true
IB8190,Cullen,Adolfo Suárez Madrid–Barajas,Pancoran,Indonesia,Charles de Gaulle,La Peña,Panama,17.37,12:32 PM,5/30/2025,false
AF8924,Reeva,Charles de Gaulle,Amparo,Brazil,Dallas/Fort Worth International,Loma Bonita,Mexico,18.53,7:54 PM,11/12/2025,true
AM2579,Sunny,Benito Juárez International,Qianjin,China,Hartsfield-Jackson Atlanta,Nzeto,Angola,12.25,12:17 AM,6/3/2025,false
IB3752,Barbaraanne,Adolfo Suárez Madrid–Barajas,Gersikputih Tengah,Indonesia,Charles de Gaulle,Yenakiyeve,Ukraine,4.47,9:51 PM,3/13/2026,true
AI2783,Corby,Indira Gandhi International,Néa Ankhíalos,Greece,Chhatrapati Shivaji International,Yeniköy,Turkey,19.06,2:16 PM,3/19/2026,false
SK4886,Che,Copenhagen Airport,Yurimaguas,Peru,Charles de Gaulle,Quchi,China,22.66,7:14 AM,12/1/2025,false
AF5390,Hector,Charles de Gaulle,Kulun,China,Frankfurt Airport,Laholm,Sweden,12.99,7:40 AM,9/14/2025,true
AZ6013,Conn,Leonardo da Vinci International,Courelas Bravas,Portugal,Charles de Gaulle,Mashan,China,6.7,6:39 AM,12/29/2025,false
BA6398,Amble,Heathrow,Avarua,Cook Islands,Charles de Gaulle,Dzorastan,Armenia,14.25,11:57 PM,5/29/2025,true
UA8777,Anthea,Los Angeles International,Rochester,United States,San Francisco International,Tugu,Indonesia,8.21,3:29 PM,3/15/2026,true
